Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,36.48,37.610001,36.48,37.540001,85700,37.540001
2016-11-30,37.00,37.279999,36.360001,36.400002,59000,36.400002
2016-11-29,36.41,36.950001,36.18,36.669998,79200,36.669998
2016-11-28,36.349998,36.689999,36.189999,36.23,48500,36.23
2016-11-25,36.59,36.75,36.540001,36.700001,18600,36.700001
2016-11-23,36.68,36.919998,36.139999,36.59,50200,36.59
2016-11-22,35.73,36.57,35.34,36.549999,101100,36.549999
2016-11-21,35.099998,35.509998,34.919998,35.48,86900,35.48
2016-11-18,34.959999,35.130001,34.48,35.09,79900,35.09
2016-11-17,34.34,35.139999,32.200001,35.009998,113700,35.009998
2016-11-16,34.290001,34.599998,33.970001,34.18,210700,34.18
2016-11-15,33.869999,34.50,33.740002,34.389999,169000,34.389999
2016-11-14,34.00,34.630001,33.740002,34.200001,447200,34.200001
2016-11-11,32.610001,33.619999,32.279999,33.610001,491200,33.610001
2016-11-10,32.240002,33.00,31.299999,32.619999,287400,32.619999
2016-11-09,31.610001,31.83,31.08,31.65,348400,31.65
2016-11-08,31.690001,31.809999,31.440001,31.530001,77500,31.530001
2016-11-07,31.43,31.92,31.33,31.700001,82800,31.700001
2016-11-04,31.26,31.469999,31.01,31.10,85800,30.84
2016-11-03,31.60,31.60,30.91,31.18,40400,30.919331
2016-11-02,31.49,32.00,31.23,31.389999,48700,31.127574
2016-11-01,31.66,32.279999,31.40,31.549999,56100,31.286237
2016-10-31,31.559999,32.369999,31.18,31.700001,183800,31.434984
2016-10-28,31.23,31.540001,31.209999,31.35,38700,31.08791
2016-10-27,31.780001,31.780001,31.360001,31.389999,78600,31.127574
2016-10-26,31.379999,31.60,31.200001,31.32,83200,31.05816
2016-10-25,31.309999,31.549999,31.27,31.35,54700,31.08791
2016-10-24,31.459999,31.709999,31.200001,31.360001,70400,31.097826
2016-10-21,30.540001,31.299999,30.379999,31.16,75000,30.899498
2016-10-20,31.719999,31.719999,30.370001,30.90,66000,30.641671
2016-10-19,29.639999,29.879999,29.610001,29.73,19500,29.481452
2016-10-18,30.120001,30.120001,29.48,29.51,29800,29.263292
2016-10-17,30.00,30.09,29.559999,29.74,31500,29.491369
2016-10-14,29.98,30.120001,27.860001,29.940001,28800,29.689698
2016-10-13,30.299999,30.299999,29.610001,29.73,47400,29.481452
2016-10-12,30.57,30.68,30.469999,30.51,26200,30.254932
2016-10-11,31.030001,31.09,30.379999,30.530001,35600,30.274765
2016-10-10,30.790001,31.129999,30.75,30.93,30400,30.671421
2016-10-07,30.67,30.68,30.26,30.530001,24000,30.274765
2016-10-06,30.26,30.75,30.059999,30.629999,27200,30.373928
2016-10-05,30.43,30.959999,30.43,30.690001,26200,30.433428
2016-10-04,30.200001,30.67,30.17,30.290001,54300,30.036772
2016-10-03,30.33,30.530001,30.120001,30.200001,27800,29.947524
2016-09-30,30.02,30.74,30.02,30.58,48700,30.324347
2016-09-29,30.469999,30.700001,30.02,30.02,53500,29.769029
2016-09-28,30.700001,30.73,30.299999,30.65,40100,30.393761
2016-09-27,29.950001,30.370001,29.90,30.34,40000,30.086353
2016-09-26,30.43,30.450001,29.959999,30.01,35200,29.759112
2016-09-23,30.74,30.969999,30.67,30.709999,27000,30.453259
2016-09-22,30.540001,30.98,30.530001,30.92,83200,30.661504
2016-09-21,30.440001,30.65,30.32,30.43,31700,30.175601
2016-09-20,30.40,30.76,30.290001,30.32,22500,30.06652
2016-09-19,30.43,30.719999,30.139999,30.48,23900,30.225182
2016-09-16,30.67,30.67,30.10,30.33,97700,30.076437
2016-09-15,30.26,30.67,30.23,30.52,29100,30.264849
2016-09-14,30.440001,30.74,30.290001,30.290001,24500,30.036772
2016-09-13,30.85,30.85,30.35,30.50,47300,30.245016
2016-09-12,30.93,31.219999,30.469999,31.07,58600,30.81025
