Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,95.870003,96.360001,95.82,96.290001,134100,96.290001
2016-11-30,96.169998,96.419998,95.910004,95.919998,221400,95.919998
2016-11-29,96.290001,96.489998,95.779999,96.190002,129300,96.190002
2016-11-28,96.410004,96.449997,96.129997,96.339996,193700,96.339996
2016-11-25,96.50,96.82,95.349998,96.769997,88700,96.379997
2016-11-23,96.169998,96.849998,95.809998,96.669998,147600,96.280402
2016-11-22,96.160004,96.529999,95.830002,96.43,77300,96.041371
2016-11-21,95.650002,96.190002,95.190002,96.00,142600,95.613104
2016-11-18,95.989998,96.199997,95.650002,95.900002,139300,95.513508
2016-11-17,95.800003,96.339996,95.529999,95.849998,130900,95.463707
2016-11-16,95.900002,96.050003,95.379997,95.809998,309900,95.423867
2016-11-15,95.669998,96.239998,95.209999,95.900002,81700,95.513508
2016-11-14,96.580002,96.580002,95.059998,95.75,316800,95.364111
2016-11-11,95.529999,96.260002,95.300003,96.010002,237600,95.623066
2016-11-10,95.00,95.830002,94.919998,95.400002,141600,95.015523
2016-11-09,94.400002,95.010002,94.400002,94.800003,204300,94.417943
2016-11-08,94.599998,94.900002,94.419998,94.440002,108200,94.059393
2016-11-07,94.760002,95.160004,94.459999,94.610001,75900,94.228706
2016-11-04,94.650002,94.949997,94.32,94.379997,177600,93.99963
2016-11-03,94.809998,94.959999,94.339996,94.480003,82400,94.099233
2016-11-02,94.580002,95.160004,94.169998,94.620003,126000,94.238668
2016-11-01,94.660004,95.07,94.449997,94.709999,300300,94.328302
2016-10-31,95.089996,95.160004,94.610001,94.699997,195300,94.31834
2016-10-28,94.889999,95.110001,94.57,94.790001,66000,94.407981
2016-10-27,94.949997,95.089996,94.760002,94.82,109100,94.437859
2016-10-26,94.849998,95.25,94.720001,94.870003,92400,94.487661
2016-10-25,94.75,94.959999,94.709999,94.940002,120900,94.557378
2016-10-24,94.779999,95.389999,94.68,94.800003,87000,94.417943
2016-10-21,94.800003,94.889999,94.720001,94.830002,57800,94.447821
2016-10-20,94.669998,94.889999,94.620003,94.870003,326200,94.487661
2016-10-19,94.860001,94.900002,94.699997,94.779999,169000,94.398019
2016-10-18,94.900002,94.900002,94.620003,94.800003,226400,94.417943
2016-10-17,94.900002,94.900002,94.760002,94.760002,102900,94.378103
2016-10-14,94.949997,94.949997,94.75,94.830002,86200,94.447821
2016-10-13,94.860001,95.00,94.760002,94.839996,214200,94.457775
2016-10-12,95.370003,95.370003,94.75,94.860001,291500,94.477699
2016-10-11,95.660004,95.660004,95.110001,95.260002,115700,94.876088
2016-10-10,95.449997,95.949997,95.290001,95.50,79900,95.115119
2016-10-07,95.260002,95.540001,94.870003,95.199997,187500,94.816325
2016-10-06,95.50,95.970001,95.190002,95.470001,298700,95.085241
2016-10-05,95.529999,95.919998,95.260002,95.510002,97000,95.125081
2016-10-04,95.50,95.980003,95.300003,95.480003,145600,95.095203
2016-10-03,95.410004,95.779999,95.160004,95.32,147100,94.935844
2016-09-30,95.900002,95.949997,95.040001,95.489998,248900,95.105157
2016-09-29,96.120003,96.199997,95.669998,95.919998,280200,95.533424
2016-09-28,95.970001,96.160004,95.489998,95.870003,342800,95.483631
2016-09-27,96.25,96.43,95.739998,95.889999,473300,95.503547
2016-09-26,96.199997,96.599998,96.190002,96.410004,131500,96.021455
2016-09-23,96.529999,96.75,96.25,96.400002,193900,96.011493
2016-09-22,96.75,96.790001,96.480003,96.629997,88300,96.240562
2016-09-21,96.639999,96.900002,96.239998,96.739998,195800,96.350119
2016-09-20,97.00,97.059998,96.440002,96.459999,301000,96.071249
